name,slug,product_type,category_slug,base_price,compare_at_price,short_description,description,is_active,featured,new_arrival,best_seller,on_sale,sku,stock_quantity,image_url
Charlotte,charlotte,wig,tressallure-wigs,126.65,149.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/charlotte-front_4e0621c2-ba40-4da0-b1f4-bb6e05af7675.png?v=1770479451&width=1100
Smooth Cut Bob,smooth-cut-bob,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/smoothcutbob-front.png?v=1770480666&width=1100
Euro Chic,euro-chic,wig,tressallure-wigs,424.15,499.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/eurochic-front.png?v=1770728790&width=1100
Charlotte Realistic,charlotte-realistic,wig,tressallure-wigs,415.65,489.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/charlottereal-front.png?v=1770728657&width=1100
Sophisticate,sophisticate,wig,tressallure-wigs,2600.15,3059.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/sophisticate-front_49bf3618-91bc-4f3c-bb7b-3036c92e2f1f.png?v=1770728966&width=1100
Pixie Flair,pixie-flair,wig,tressallure-wigs,89.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/pixieflair-front.png?v=1751318904&width=1100
Leading Edge,leading-edge,wig,tressallure-wigs,415.65,489.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/leadingedge-front_5d4d96ca-f369-4809-a473-a63fc8edf4d8.png?v=1770728838&width=1100
Chopped Pixie,chopped-pixie,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/choppedpixie-front.png?v=1770479489&width=1100
Sizzle,sizzle,wig,tressallure-wigs,424.15,499.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/sizzle-front.png?v=1770480607&width=1100
Twisted Pixie,twisted-pixie,wig,tressallure-wigs,415.65,489.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/twistedpixie-front_6f05d301-ddcf-40ce-934c-be70d1726f3d.png?v=1770729075&width=1100
Angled Pixie,angled-pixie,wig,tressallure-wigs,89.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/angledpixie-front1.png?v=1770931976&width=1100
California Beach Waves,california-beach-waves,wig,tressallure-wigs,432.65,509.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/calibeachwaves-front.png?v=1770479367&width=1100
Ashlyn,ashlyn,wig,tressallure-wigs,84.15,99.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/ashlyn-front.png?v=1751318757&width=1100
Beach Wave Magic,beach-wave-magic,wig,tressallure-wigs,424.15,499.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/beachwmagic-front.png?v=1770728594&width=1100
Ella | Ready-to-wear Super Fine Welded Mono and Fine Mono,ella-ready-to-wear,wig,wigs,1069.3,1258.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/euphoria-marcy.png?v=1746112301&width=1100
Brushed Pixie,brushed-pixie,wig,tressallure-wigs,109.65,129.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/brushedpixie-front_d18f5217-6c1b-4a76-99c2-47ddbe3b3f17.png?v=1770479316&width=1100
Ciara | Ready-to-wear French Lace Front and Fine Mono,ciara-ready-to-wear-french-lace-front-and-fine-mono,wig,wigs,335.75,395.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/debut-marcy.png?v=1746112352&width=1100
Cool Pixie,cool-pixie,wig,tressallure-wigs,109.65,129.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/coolpixie-front.png?v=1770933570&width=1100
